entities, mr_switch, mr_move, mr_create, result
50, 5, 25, 1, 126155
50, 5, 15, 1, 129363
50, 5, 35, 1, 129481
50, 15, 15, 1, 130251
50, 5, 5, 1, 130614
50, 15, 35, 1, 132070
50, 15, 25, 1, 133523
50, 15, 5, 1, 134175
50, 25, 15, 1, 135375
50, 25, 5, 1, 135903
50, 25, 25, 1, 137010
50, 35, 15, 1, 138008
150, 5, 25, 1, 138423
150, 15, 25, 1, 138446
150, 5, 35, 1, 138626
150, 15, 35, 1, 138748
50, 25, 35, 1, 139397
50, 35, 5, 1, 139996
150, 5, 15, 1, 140618
150, 15, 5, 1, 140791
50, 35, 25, 1, 140919
50, 35, 35, 1, 141024
150, 15, 15, 1, 142333
150, 25, 15, 1, 142522
150, 35, 25, 1, 143533
150, 35, 15, 1, 143929
150, 25, 25, 1, 144080
250, 5, 35, 1, 144239
150, 35, 35, 1, 144406
150, 35, 5, 1, 144743
250, 5, 25, 1, 145734
250, 15, 35, 1, 146168
150, 25, 35, 1, 146618
150, 25, 5, 1, 147023
250, 5, 15, 1, 147472
250, 35, 15, 1, 147806
250, 15, 15, 1, 148025
250, 25, 15, 1, 148465
250, 15, 25, 1, 148877
350, 5, 35, 1, 149128
250, 35, 25, 1, 149194
250, 25, 35, 1, 149204
250, 25, 5, 1, 149369
250, 35, 5, 1, 150453
350, 15, 25, 1, 150763
150, 5, 5, 1, 150797
350, 15, 35, 1, 150859
250, 25, 25, 1, 150943
350, 5, 25, 1, 151094
250, 15, 5, 1, 151255
250, 35, 35, 1, 151758
350, 25, 25, 1, 152525
350, 15, 15, 1, 152731
350, 35, 15, 1, 153426
350, 25, 5, 1, 153493
350, 25, 35, 1, 153566
350, 35, 25, 1, 153917
350, 35, 5, 1, 154463
350, 35, 35, 1, 154514
350, 5, 15, 1, 155011
450, 25, 25, 1, 155042
450, 25, 35, 1, 155092
450, 15, 35, 1, 155176
350, 25, 15, 1, 155314
450, 5, 35, 1, 155372
450, 35, 15, 1, 155590
450, 15, 25, 1, 155852
450, 25, 15, 1, 156067
350, 15, 5, 1, 157188
450, 35, 5, 1, 157591
450, 5, 25, 1, 157666
450, 15, 15, 1, 158140
250, 5, 5, 1, 158307
450, 35, 35, 1, 158359
450, 35, 25, 1, 159402
450, 25, 5, 1, 159546
350, 5, 5, 1, 160405
450, 5, 15, 1, 160707
450, 15, 5, 1, 161444
450, 5, 5, 1, 163948
