entities, mr_switch, mr_move, mr_create, result
24, 16, 20, 8, 130305
30, 2, 47, 2, 106762
2, 24, 44, 7, 186403
17, 31, 29, 3, 141307
26, 16, 7, 10, 125978
15, 6, 48, 3, 115278
6, 3, 19, 6, 97264
15, 13, 34, 5, 123170
11, 12, 30, 10, 136107
30, 34, 13, 2, 126215
18, 2, 33, 4, 104308
11, 17, 24, 4, 122910
22, 9, 27, 6, 113742
15, 9, 41, 4, 118412
11, 17, 32, 4, 128199
13, 9, 39, 6, 127752
6, 3, 19, 6, 96481
13, 9, 39, 6, 124539
6, 18, 30, 2, 116397
30, 18, 30, 2, 116576
12, 10, 5, 3, 97678
6, 42, 11, 4, 148468
6, 3, 19, 6, 99414
6, 3, 19, 6, 99689
12, 2, 26, 5, 98065
12, 13, 32, 4, 118907
10, 6, 13, 5, 96835
30, 18, 30, 2, 117556
30, 18, 30, 2, 116577
12, 2, 26, 5, 99387
9, 23, 12, 4, 120280
9, 6, 12, 4, 98097
12, 6, 15, 4, 96486
20, 12, 21, 3, 106408
12, 6, 15, 4, 97578
16, 8, 9, 4, 98024
9, 6, 12, 1, 97946
11, 7, 29, 8, 118203
18, 10, 24, 4, 109235
10, 6, 13, 5, 94954
14, 7, 12, 4, 98601
14, 7, 14, 4, 97688
12, 7, 10, 2, 99471
5, 6, 15, 4, 97202
7, 7, 10, 2, 93910
9, 6, 12, 4, 94201
12, 7, 10, 2, 98420
18, 34, 15, 3, 138356
21, 28, 24, 10, 151089
7, 6, 50, 4, 119753
30, 6, 12, 3, 105927
10, 7, 11, 3, 96205
7, 6, 13, 4, 95842
9, 6, 6, 4, 95280
14, 7, 13, 4, 98447
10, 6, 11, 4, 96243
23, 20, 12, 2, 110857
9, 6, 13, 4, 94809
14, 7, 12, 4, 97135
10, 6, 32, 4, 104060
10, 6, 12, 3, 95859
9, 6, 8, 4, 95923
14, 7, 12, 4, 97578
30, 6, 11, 6, 103724
9, 6, 12, 4, 96137
8, 6, 13, 4, 92330
8, 6, 12, 4, 95951
12, 6, 22, 4, 98726
17, 6, 22, 4, 102069
9, 6, 31, 4, 102136
10, 6, 12, 3, 93922
9, 6, 8, 4, 95529
14, 7, 12, 4, 98081
30, 6, 11, 6, 104913
9, 6, 12, 4, 94589
8, 6, 13, 4, 96464
8, 6, 12, 4, 94521
12, 6, 22, 4, 98464
17, 6, 22, 4, 101402
9, 6, 31, 4, 101849
9, 6, 10, 3, 97766
8, 6, 10, 4, 97259
12, 6, 27, 3, 100970
12, 34, 12, 3, 139288
10, 6, 17, 4, 96107
23, 25, 40, 4, 141806
10, 6, 15, 4, 94969
28, 48, 12, 2, 144232
22, 6, 17, 4, 101615
10, 6, 12, 3, 96276
9, 6, 8, 4, 93933
14, 7, 12, 4, 99991
30, 6, 11, 6, 107905
9, 6, 12, 4, 94129
8, 6, 13, 4, 95121
8, 6, 12, 4, 95752
12, 6, 22, 4, 98672
17, 6, 22, 4, 101510
9, 6, 31, 4, 105705
6, 6, 17, 4, 97413
24, 6, 17, 4, 102902
9, 29, 10, 3, 123572
11, 6, 21, 4, 99857
8, 6, 10, 4, 94203
11, 6, 45, 3, 111755
10, 10, 50, 4, 126461
9, 6, 8, 4, 96386
11, 6, 23, 3, 96459
10, 6, 12, 3, 97569
9, 6, 8, 4, 98127
14, 7, 12, 4, 97033
30, 6, 11, 6, 107560
9, 6, 12, 4, 97225
8, 6, 13, 4, 93493
8, 6, 12, 4, 93419
12, 6, 22, 4, 96538
17, 6, 22, 4, 103892
9, 6, 31, 4, 101601
8, 6, 12, 4, 94816
14, 6, 12, 3, 97732
10, 6, 17, 4, 98222
12, 6, 12, 5, 97364
8, 6, 12, 1, 99859
14, 6, 21, 1, 96670
10, 6, 19, 10, 111789
13, 6, 46, 4, 116672
11, 6, 11, 1, 99904
20, 22, 48, 3, 133212
8, 6, 12, 4, 98244
11, 6, 22, 2, 97745
11, 25, 12, 3, 121754
20, 6, 4, 6, 105568
8, 30, 12, 2, 119843
6, 40, 28, 5, 158735
12, 6, 13, 3, 100293
12, 6, 19, 2, 94441
12, 21, 20, 7, 136247
13, 6, 16, 3, 94599
12, 6, 19, 2, 97038
11, 18, 17, 2, 105722
16, 6, 37, 4, 111501
22, 6, 15, 1, 101197
26, 6, 4, 3, 105334
12, 6, 16, 10, 114885
11, 13, 21, 9, 127116
9, 23, 2, 3, 107717
24, 6, 27, 2, 105892
12, 6, 16, 2, 99661
12, 6, 19, 2, 95295
19, 6, 33, 6, 111706
12, 6, 23, 4, 102793
24, 6, 9, 2, 101120
12, 14, 8, 2, 97158
16, 35, 48, 2, 143638
10, 14, 10, 2, 94816
21, 6, 8, 1, 101596
6, 6, 10, 1, 96536
29, 36, 20, 3, 138267
10, 14, 10, 2, 97975
22, 10, 14, 4, 103434
9, 10, 9, 1, 97412
21, 2, 17, 4, 100457
11, 14, 9, 2, 100052
16, 10, 8, 1, 101603
11, 14, 13, 2, 98474
15, 10, 9, 1, 98274
16, 6, 13, 1, 96726
9, 21, 16, 2, 106079
16, 6, 13, 1, 99157
12, 12, 9, 4, 97372
12, 34, 9, 1, 126207
16, 6, 29, 1, 100699
9, 20, 41, 1, 120032
16, 8, 13, 3, 97070
7, 12, 9, 1, 93837
13, 49, 21, 1, 142214
9, 10, 29, 1, 98779
16, 8, 13, 3, 98151
7, 12, 9, 1, 94737
16, 18, 13, 1, 103412
14, 5, 48, 2, 111632
11, 46, 11, 2, 144081
16, 20, 21, 9, 140576
16, 7, 21, 2, 97100
14, 10, 23, 3, 103623
11, 9, 11, 4, 96334
16, 20, 19, 5, 129421
12, 14, 24, 2, 103804
7, 12, 9, 1, 93456
12, 9, 9, 9, 111645
23, 5, 34, 2, 103241
10, 11, 16, 3, 98060
15, 14, 18, 2, 104275
9, 10, 10, 2, 94976
15, 6, 34, 2, 100480
14, 12, 41, 7, 133832
28, 46, 17, 1, 138689
14, 22, 26, 2, 119590
7, 12, 9, 1, 95468
13, 15, 17, 5, 114406
21, 36, 26, 2, 136967
29, 7, 22, 8, 111500
17, 38, 41, 5, 158228
15, 10, 26, 2, 106179
12, 16, 21, 2, 106149
2, 10, 12, 1, 148347
19, 41, 32, 2, 143131
8, 30, 9, 1, 118987
